DataId,Value,Precision,IndicatorOrder,SurveyYear,DenominatorWeighted,IsPreferred,ByVariableId
707857,33.7,1,94096044,2016,256,0,14000
545835,36.8,1,94096044,2016,350,1,14001
707854,14.6,1,94096050,2016,256,0,14000
545844,15,1,94096050,2016,350,1,14001
707855,79.2,1,94096060,2016,256,0,14000
545845,83.3,1,94096060,2016,350,1,14001
707846,20.8,1,94096070,2016,256,0,14000
545847,16.7,1,94096070,2016,350,1,14001
707856,7.2,1,94096080,2016,256,0,14000
545834,10.6,1,94096080,2016,350,1,14001
707847,2.4,1,94096090,2016,256,0,14000
545848,1.8,1,94096090,2016,350,1,14001
707853,0.2,1,94096110,2016,256,0,14000
545836,0.6,1,94096110,2016,350,1,14001
707858,0.5,1,94096120,2016,256,0,14000
545837,1.1,1,94096120,2016,350,1,14001
707859,9.1,1,94096130,2016,256,0,14000
545840,10.3,1,94096130,2016,350,1,14001
707860,16.2,1,94096140,2016,256,0,14000
545843,12.1,1,94096140,2016,350,1,14001
